,Whiskey,Review,Score,Category,Reviewer,Price,Date,Alcohol,Age,finish,finish,fruit,note,sweet,oak,palat,spice,nose,vanilla,dri,year,chocol,old,smoke,sherri,malt,caramel,honey,hint,orang,toffe,pepper,matur,flavor,cinnamon,spici,peat,age,balanc,appl,soft,long,whiskey,releas,light,ginger,rich,citru,dark,water,complex,fresh,aroma,rye,wood,black,fruiti,express,creami,leather,lemon,candi,slightli,blend,peach,singl,ripe,new,subtl,cherri,red,floral,clean,nut,clove,sugar,mint,warm,licoric,smoki,white,milk,polish,almond,grain,mix,gentl,syrup,raisin,tobacco,coconut,hot,linger,textur,nutti,color,littl,peel,nutmeg,toast,bitter,cocoa,cream,green,corn,barley,earthi,develop,pineappl,smooth,pear,well,bake,berri,mouth,wine,follow,salt,oili,medium,brine,fudg,strength,roast,come,charact,big,great,delic,apricot,malti,also,pepperi,love,exclus,banana,full,tropic,emerg,tea,deep,fig,vintag,bodi,much,dram,bright,port,mapl,pie,coffe,domin,best,enjoy,ice,tannin,lengthi,oloroso,depth,fragrant,lush,butterscotch,cake,raspberri,powder,start,golden,eleg,end,tongu,open,differ,silki,spirit,orchard,gold,butt,background,mola,young,beauti,last,mouthfeel,sooth,lime,hogshead,melon,seawe
846,springbank,"['nice', 'see', 'stock', 'distil', 'âsilent', 'periodâ', 'turn', '18', 'year', 'old', 'sherri', 'influenc', 'complementari', 'overpow', 'note', 'toffe', 'almond', 'vanilla', 'fudg', 'chocolateco', 'citru', 'brambl', 'candi', 'ginger', 'polish', 'leather', 'dri', 'spice', 'hint', 'brine', 'finish', 'dri', 'nice', 'keep', 'interest', 'quit', 'dynam', 'complex', 'legendari', 'pre', 'springer', 'itâ', 'smooth', 'wellround', 'moreish']",88,single malt scotch,john hansell,19000.0,2009,46,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,springbank,"['good', 'dose', 'sherri', 'thereâ', 'plenti', 'springbank', 'charact', 'come', 'gob', 'ripe', 'red', 'berri', 'fruit', 'strawberri', 'rhubarb', 'red', 'currant', 'raspberri', 'especi', 'nose', 'along', 'raisin', 'itâ', 'bed', 'blueberri', 'pancak', 'toffe', 'fig', 'cake', 'coconut', 'brine', 'emerg', 'occasion', 'palat', 'linger', 'finish', 'nice', 'whiski', 'although', 'wonder', 'would', 'tast', 'like', 'littl', 'le', 'sherri', 'influenc']",88,single malt scotch,john hansell,16000.0,2010,46,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,springbank 14 year old fino cask 265,"['round', 'singl', 'cask', 'springer', 'matur', 'complet', 'finish', 'variou', 'wine', 'cask', 'u', 'market', 'four', 'solid', 'effort', 'â', 'itâ', 'realli', 'matter', 'person', 'prefer', 'gener', 'comment', 'singl', 'cask', 'releas', 'matur', 'sort', 'wine', 'rum', 'cask', 'nice', 'would', 'love', 'see', 'sever', 'singl', 'cask', 'cask', 'strength', 'fullymatur', 'exbourbon', 'barrel', 'bottl', 'offer', 'chang', 'freshest', 'bunch', 'chock', 'full', 'springbank', 'charact', 'light', 'live', 'floral', 'plenti', 'fruit', 'green', 'grape', 'kiwi', 'appl', 'tart', 'bed', 'honey', 'malt', 'nutti', 'brine', 'emerg', 'toward', 'finish', 'linger']",88,single malt scotch,john hansell,10000.0,2011,55,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,springbank rundlets  kilderkins,"['springbank', 'releas', 'limit', 'edit', 'bottl', 'whiski', 'distil', 'novemb', 'matur', 'small', 'cask', 'tradit', 'known', 'rundlet', 'kilderkin', 'bottl', 'januari', 'small', 'cask', 'left', 'impress', 'acceler', 'matur', 'coal', 'smoke', 'clove', 'young', 'oak', 'caramel', 'rich', 'nose', 'palat', 'big', 'bold', 'sprinkl', 'salt', 'youth', 'wood', 'milk', 'chocol', 'honey', 'finish', 'long', 'slightli', 'tarri', 'â57']",88,single malt scotch,gavin smith,8900.0,2012,49,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
850,springbank 12 year old cask strength 2014 release,"['seventh', 'batch', '12', 'year', 'old', 'cask', 'strength', 'springbank', 'appear', 'bottl', 'earli', 'compon', 'whiski', 'matur', 'oloroso', 'sherri', 'cask', 'nose', 'blend', 'maritim', 'note', 'christma', 'cake', 'fruit', 'vanilla', 'pod', 'overt', 'sherri', 'viscou', 'mouth', 'cowsh', 'soft', 'peat', 'smoke', 'plu', 'spice', 'caramel', 'hint', 'sweet', 'sherri', 'noholdsbar', 'finish', 'present', 'big', 'blast', 'smoke', 'root', 'ginger', 'freshlydug', 'peat', 'â45']",88,single malt scotch,gavin smith,76.0,2014,52,12,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851,springbank 10 year old,"['matur', 'mix', 'bourbon', 'sherri', 'cask', 'whiff', 'brine', 'earli', 'nose', 'damp', 'earth', 'citru', 'fruit', 'cereal', 'mildli', 'smoki', 'oak', 'palat', 'suppl', 'offer', 'vanilla', 'toffe', 'cedarwood', 'hazelnut', 'brine', 'spici', 'finish', 'yield', 'coconut', 'hint', 'dri', 'peat']",88,single malt scotch,gavin smith,72.0,2019,46,10,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,talisker 2003 amoroso finish distillers edition,"['express', 'distil', 'undergo', 'period', 'finish', 'amoroso', 'sherri', 'cask', 'bottl', 'fleet', 'green', 'appl', 'nose', 'sweeten', 'fig', 'sultana', 'red', 'berri', 'chili', 'peat', 'smoke', 'final', 'make', 'presenc', 'felt', 'fullbodi', 'palat', 'spici', 'smoke', 'dark', 'chocol', 'peach', 'jaffa', 'orang', 'addit', 'fruiti', 'courtesi', 'amoroso', 'cask', 'influenc', 'long', 'softli', 'smoki', 'finish', 'ginger', 'linger', 'fruit', 'note', 'â55']",88,single malt scotch,gavin smith,81.0,2015,45,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,talisker 8 year old,"['matur', 'firstfil', 'bourbon', 'barrel', 'youth', 'talisk', 'appear', 'one', 'origin', 'bottl', 'strength', 'use', 'onetim', 'owner', 'john', 'walker', 'son', 'ltd', 'first', 'special', 'releas', 'talisk', 'sinc', 'pepperi', 'tweed', 'ozon', 'coconut', 'oil', 'subtl', 'smoke', 'nose', 'palat', 'featur', 'woodsmok', 'chili', 'toffe', 'green', 'berri', 'white', 'pepper', 'sea', 'salt', 'savori', 'note', 'finish', 'â70']",88,single malt scotch,gavin smith,89.0,2018,59,8,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,tamdhu 12 year old,"['rel', 'dri', 'nose', 'citru', 'fruit', 'hazelnut', 'quit', 'dri', 'sherri', 'palat', 'full', 'rich', 'sweeter', 'sherri', 'note', 'cinnamon', 'banoffe', 'pie', 'jaffa', 'orang', 'hot', 'chocol', 'slightli', 'tannic', 'oak', 'mediumlength', 'finish', 'matur', 'oloroso', 'cask']",88,single malt scotch,gavin smith,65.0,2019,43,12,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,tobermory 21 year old,"['like', 'ledaig', 'stablem', 'tobermori', 'offer', 'nonchil', 'filter', 'cask', 'strength', 'finish', 'occur', 'manzanilla', 'sherri', 'cask', 'orang', 'marmalad', 'nutmeg', 'develop', 'vanilla', 'nose', 'full', 'bodi', 'palat', 'citru', 'fruit', 'soft', 'spice', 'anise', 'develop', 'tannin', 'linger', 'finish', 'spici', 'plain', 'chocol', 'ultim', 'tannin', 'fade', 'leav', 'fresh', 'citric', 'note']",88,single malt scotch,gavin smith,160.0,2017,53,21,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,tomintoul 27 year old,"['similar', 'flavor', 'profil', 'tomintoul', '16', 'review', 'better', 'longer', 'age', 'provid', 'extra', 'charact', 'depth', 'also', 'palat', 'caramel', 'flavor', 'bit', 'darker', 'border', 'toffe', 'whiskyâ', 'finish', 'longer', 'shade', 'drier', 'age', 'grace', 'excess', 'woodi', 'whiski', 'reveal', 'charm', 'slowli', 'subtli']",88,single malt scotch,john hansell,175.0,2004,40,27,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,tomintoul 12 year old oloroso sherry cask finish,"['subtl', 'sherri', 'add', 'addit', 'level', 'complex', 'compar', 'standard', '10', 'year', 'old', 'take', 'tomintoul', 'new', 'level', 'rich', 'creami', 'wellbalanc', 'note', 'toffe', 'vanilla', 'fudg', 'toast', 'nut', 'eleg', 'fruit', 'surprisingli', 'delici', 'whiski', '12', 'year', 'old']",88,single malt scotch,john hansell,70.0,2008,40,12,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,tomatin,"['new', 'beefedup', 'version', '18', 'year', 'old', 'higher', 'alcohol', 'level', 'seemingli', 'sherri', 'influenc', 'must', 'say', 'realli', 'enjoy', 'previou', 'express', 'rate', '87', 'round', 'eleg', 'like', 'one', 'bold', 'demeanor', 'whether', 'like', 'predecessor', 'come', 'prefer', 'mood', 'note', 'toffe', 'appl', 'pancak', 'drizzl', 'mapl', 'syrup', 'date', 'nut', 'cake', 'ripe', 'fruit', 'roast', 'nut', 'dust', 'cinnamon', 'vanilla', 'cocoa']",88,single malt scotch,john hansell,6000.0,2010,46,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,tomatin,"['age', 'refil', 'sherri', 'puncheon', 'sherri', 'evid', 'appear', 'palat', 'soft', 'sweet', 'caramelco', 'mix', 'nut', 'toffe', 'appl', 'rhum', 'agricol', 'currant', 'red', 'black', 'plum', 'cinnamon', 'surpris', 'brisk', 'mint', 'especi', 'toward', 'finish', 'plea', 'nonaggress', 'express', 'matur', 'sherri', 'whiski', 'avail', 'usâ340']",88,single malt scotch,john hansell,55300.0,2011,57,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,tomatin 36 year old,"['tomatin', 'introduc', 'permanentlyavail', '36', 'year', 'old', 'express', 'first', 'batch', 'compris', '800', 'bottl', 'matur', 'combin', 'bourbon', 'oloroso', 'sherri', 'cask', 'express', 'chillfilt', 'milk', 'chocol', 'vanilla', 'earli', 'nose', 'background', 'apricot', 'malt', 'ginger', 'ultim', 'citru', 'fruit', 'sherri', 'good', 'mouthfeel', 'live', 'sweet', 'fruit', 'clove', 'ginger', 'palat', 'long', 'finish', 'dri', 'slowli', 'fruiti', 'licoric', 'plain', 'chocol']",88,single malt scotch,gavin smith,780.0,2015,46,36,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
861,tomatin 15 year old moscatel limited edition,"['distil', 'express', 'spent', 'decad', 'matur', 'bourbon', 'barrel', '5', 'year', 'firstfil', 'portugues', 'moscatel', 'wine', 'barriqu', 'bottl', 'without', 'chillfiltr', 'nose', 'offer', 'fragrant', 'spice', 'red', 'appl', 'sprinkl', 'lightli', 'white', 'pepper', 'fruiti', 'suppl', 'palat', 'strawberriesandcream', 'note', 'background', 'citru', 'almond', 'slightli', 'musti', 'oak', 'black', 'pepper', 'fig', 'mediumlength', 'finish']",88,single malt scotch,gavin smith,95.0,2018,46,15,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862,duncan taylor dimensions range distilled tormore 2005,"['bottl', 'duncan', 'taylor', 'ben', 'jerryâ', 'ludicr', 'amount', 'whitemilk', 'chocol', 'macadamia', 'nut', 'green', 'fennel', 'underneath', 'water', 'open', 'dark', 'chocol', 'chunk', 'see', 'mean', 'cappuccino', 'one', 'sip', 'make', 'worri', 'youâr', 'put', 'weight', 'thick', 'impact', 'okay', 'itâ', 'wood', 'rather', 'distilleri', 'canât', 'deni', 'put', 'smile', 'face', 'complet', 'bonker', 'somehow', 'wonder', 'â49']",88,single malt scotch,dave broom,78.0,2013,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,tullibardine murray marsala cask finish,"['initi', 'matur', 'firstfil', 'bourbon', 'barrel', 'vintag', 'tullibardin', 'transfer', 'marsala', 'wine', 'cask', 'year', 'finish', 'nose', 'offer', 'vanilla', 'ginger', 'printerâ', 'ink', 'red', 'wine', 'plum', 'milk', 'chocol', 'walnut', 'rich', 'redberri', 'fruit', 'flavor', 'palateâraspberri', 'creamâplu', 'coffe', 'clove', 'black', 'treacl', 'dark', 'chocol', 'slightli', 'earthi', 'finish', 'accomplish']",88,single malt scotch,gavin smith,80.0,2019,46,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,oban 14 year old,"['nose', 'floral', 'honey', 'toffe', 'cereal', 'hint', 'smoke', 'subtl', 'maritim', 'note', 'also', 'present', 'palat', 'rich', 'rel', 'complex', 'spici', 'citru', 'fruit', 'cereal', 'seawe', 'peat', 'smoke', 'oak', 'lengthi', 'finish', 'toffe', 'new', 'leather', 'perpetu', 'spice', 'longstand', 'favorit', 'distinct', 'profil']",88,single malt scotch,gavin smith,75.0,2019,43,14,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
865,wemyss malts âhoney spiceâ distilled bunnahabhain 1991 bottled 2011,"['bunnahabhain', 'along', 'bowmor', 'islayâ', 'greatest', 'user', 'exsherri', 'cask', 'throwback', 'day', 'part', 'highland', 'distil', 'rich', 'thick', 'gingeracc', 'spirit', 'match', 'attent', 'european', 'oak', 'extrem', 'well', 'red', 'teacolor', 'exampl', 'resin', 'saddl', 'soap', 'ginseng', 'treacl', 'toffe', 'nose', 'fusillad', 'roast', 'spice', 'palat', 'finish', 'reveal', 'sweet', 'gingerbread', 'big', 'huggabl', 'bear', 'â60']",88,single malt scotch,dave broom,9600.0,2012,,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,wemyss malts salted caramels distilled glen scotia 1991,"['279', 'bottl', '22', 'year', 'old', 'singl', 'cask', 'glen', 'scotia', 'releas', 'wemyss', 'malt', 'matur', 'take', 'place', 'bourbon', 'cask', 'fleetingli', 'sweet', 'crunchi', 'appl', 'nose', 'caramel', 'milk', 'chocol', 'sherbet', 'dip', 'plu', 'hint', 'brine', 'palat', 'sweet', 'pepperi', 'spici', 'toffe', 'grapefruit', 'melon', 'walnut', 'finish', 'medium', 'length', 'spici', 'tabl', 'salt', 'tail', 'â90']",88,single malt scotch,gavin smith,145.0,2013,46,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
